,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature
0,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,audio_features,4
1,0.738,0.696,1,-3.59,1,0.0305,0.0236,9.09e-05,0.338,0.892,101.989,audio_features,4
2,0.504,0.579,5,-7.418,0,0.0423,0.315,0.0542,0.11,0.665,83.973,audio_features,4
3,0.401,0.918,8,-5.274,1,0.367,0.0149,0.77,0.397,0.525,86.063,audio_features,4
4,0.481,0.256,5,-14.291,0,0.0284,0.727,0.816,0.114,0.0383,104.112,audio_features,3
5,0.706,0.483,1,-7.929,1,0.0393,0.547,1.94e-06,0.136,0.663,92.002,audio_features,4
6,0.736,0.632,6,-5.92,1,0.251,0.179,0.0,0.0924,0.615,89.993,audio_features,4
7,0.598,0.475,1,-11.941,1,0.0524,0.0716,9.23e-05,0.0678,0.331,85.013,audio_features,4
8,0.438,0.266,7,-12.863,1,0.0363,0.922,0.000298,0.148,0.116,120.075,audio_features,4
9,0.803,0.498,8,-5.389,0,0.0634,0.279,1.33e-06,0.161,0.832,92.032,audio_features,4
10,0.831,0.542,10,-6.652,0,0.169,0.234,0.0,0.261,0.493,132.077,audio_features,4
11,0.342,0.294,2,-15.989,1,0.0426,0.592,0.674,0.0944,0.132,84.014,audio_features,4
12,0.653,0.265,4,-12.324,0,0.0709,0.702,0.000215,0.0963,0.367,99.732,audio_features,4
13,0.665,0.516,0,-11.27,0,0.0642,0.121,0.00152,0.105,0.494,93.983,audio_features,4
14,0.764,0.33,2,-12.801,0,0.0427,0.1,0.506,0.139,0.0686,119.978,audio_features,4
15,0.598,0.284,11,-11.981,0,0.0733,0.39,0.0049,0.154,0.285,123.15,audio_features,3
16,0.554,0.507,11,-6.099,0,0.166,0.246,0.0,0.283,0.34,137.876,audio_features,4
17,0.672,0.503,2,-5.141,1,0.0464,0.265,0.000321,0.204,0.465,60.496,audio_features,4
18,0.605,0.49,0,-7.148,1,0.0465,0.128,0.000119,0.38,0.355,140.172,audio_features,4
19,0.611,0.605,6,-9.151,1,0.0858,0.118,0.00012,0.0856,0.45,147.971,audio_features,4
